Adarsh Cavale (aac90) - COE 1501 Project 2 - Farnan TTH 11 AM - 12:15 PM

Filename		Compression type		Original size (kB)	Compressed size (kB)	Compression ratio
-------------------	-------------------		-------------------	-------------------	-------------------
all.tar			LZW.java			3000			1800			1.666666667
all.tar			MyLZW.java - n			3000			1800			1.666666667
all.tar			MyLZW.java - r			3000			1200			2.5
all.tar			MyLZW.java - m			3000			1500			2
all.tar			Built in MacOS compressor	3000			970			3.092783505
assig2.doc		LZW.java			87			75			1.16
assig2.doc		MyLZW.java - n			87			40			2.175
assig2.doc		MyLZW.java - r			87			40			2.175
assig2.doc		MyLZW.java - m			87			40			2.175
assig2.doc		Built in MacOS compressor	87			24			3.625
code.txt		LZW.java			72			31			2.322580645
code.txt		MyLZW.java - n			72			25			2.88
code.txt		MyLZW.java - r			72			25			2.88
code.txt		MyLZW.java - m			72			25			2.88
code.txt		Built in MacOS compressor	72			16			4.5
code2.txt		LZW.java			58			24			2.416666667
code2.txt		MyLZW.java - n			58			21			2.761904762
code2.txt		MyLZW.java - r			58			21			2.761904762
code2.txt		MyLZW.java - m			58			21			2.761904762
code2.txt		Built in MacOS compressor	58			14			4.142857143
edit.exe		LZW.java			236			251			0.940239044
edit.exe		MyLZW.java - n			236			156			1.512820513
edit.exe		MyLZW.java - r			236			152			1.552631579
edit.exe		MyLZW.java - m			236			152			1.552631579
edit.exe		Built in MacOS compressor	236			127			1.858267717
frosty.jpg		LZW.java			127			177			0.717514124
frosty.jpg		MyLZW.java - n			127			164			0.774390244
frosty.jpg		MyLZW.java - r			127			171			0.742690058
frosty.jpg		MyLZW.java - m			127			178			0.713483146
frosty.jpg		Built in MacOS compressor	127			127			1
gone_fishing.bmp	LZW.java			17			9			1.888888889
gone_fishing.bmp	MyLZW.java - n			17			9			1.888888889
gone_fishing.bmp	MyLZW.java - r			17			9			1.888888889
gone_fishing.bmp	MyLZW.java - m			17			9			1.888888889
gone_fishing.bmp	Built in MacOS compressor	17			9			1.888888889
large.txt		LZW.java			1200			605			1.983471074
large.txt		MyLZW.java - n			1200			502			2.390438247	
large.txt		MyLZW.java - r			1200			528			2.272727273
large.txt		MyLZW.java - m			1200			558			2.150537634
large.txt		Built in MacOS compressor	1200			494			2.429149798
Lego-big.gif		LZW.java			93			129			0.720930233
Lego-big.gif		MyLZW.java - n			93			122			0.762295082
Lego-big.gif		MyLZW.java - r			93			122			0.762295082
Lego-big.gif		MyLZW.java - m			93			122			0.762295082
Lego-big.gif		Built in MacOS compressor	93			93			1
medium.txt		LZW.java			25			13			1.923076923
medium.txt		MyLZW.java - n			25			13			1.923076923
medium.txt		MyLZW.java - r			25			13			1.923076923
medium.txt		MyLZW.java - m			25			13			1.923076923
medium.txt		Built in MacOS compressor	25			11			2.272727273
wacky.bmp		LZW.java			922			4			230.5
wacky.bmp		MyLZW.java - n			922			4			230.5
wacky.bmp		MyLZW.java - r			922			4			230.5
wacky.bmp		MyLZW.java - m			922			4			230.5
wacky.bmp		Built in MacOS compressor	922			3			307.3333333
winnt256.bmp		LZW.java			157			159			0.987421384
winnt256.bmp		MyLZW.java - n			157			63			2.492063492
winnt256.bmp		MyLZW.java - r			157			63			2.492063492
winnt256.bmp		MyLZW.java - m			157			63			2.492063492
winnt256.bmp		Built in MacOS compressor	157			50			3.14
